class Worker[id = 2][firstName = Nikita, lastName = Shalimo, patronymic = Victorovich, position = manager, yearOfStartWorking = 2020, salary = 10000.000000]
class Worker[id = 4][firstName = Nilolay, lastName = Radoman, patronymic = Sergeevich, position = manager, yearOfStartWorking = 2014, salary = 50000.000000]
class Worker[id = 5][firstName = Sergey, lastName = Zuev, patronymic = Vecheslavovich, position = manager, yearOfStartWorking = 2010, salary = 99999.000000]
class Worker[id = 22][firstName = Viktor, lastName = Audley, patronymic = Victorovich, position = manager, yearOfStartWorking = 2014, salary = 20000.000000]
class Worker[id = 23][firstName = Vitaly, lastName = Austin, patronymic = Victorovich, position = manager, yearOfStartWorking = 2010, salary = 20000.000000]
class Worker[id = 24][firstName = Vladimir, lastName = Ayrton, patronymic = Victorovich, position = manager, yearOfStartWorking = 2019, salary = 20000.000000]
class Worker[id = 25][firstName = Vladislav, lastName = Babcock, patronymic = Victorovich, position = manager, yearOfStartWorking = 2017, salary = 99999.000000]
class Worker[id = 26][firstName = Viacheslav, lastName = Backer, patronymic = Victorovich, position = manager, yearOfStartWorking = 2010, salary = 20000.000000]
class Worker[id = 27][firstName = Gennady, lastName = Baldwin, patronymic = Victorovich, position = manager, yearOfStartWorking = 2019, salary = 20000.000000]
class Worker[id = 36][firstName = Inna, lastName = Bishop, patronymic = Sergeevna, position = manager, yearOfStartWorking = 2017, salary = 20000.000000]
class Worker[id = 37][firstName = Daniil, lastName = Black, patronymic = Vecheslavovich, position = manager, yearOfStartWorking = 2017, salary = 20000.000000]
class Worker[id = 38][firstName = Dina, lastName = Blare, patronymic = Sergeevna, position = manager, yearOfStartWorking = 2017, salary = 20000.000000]
class Worker[id = 39][firstName = Zhanna, lastName = Blomfield, patronymic = Sergeevna, position = manager, yearOfStartWorking = 2017, salary = 5000.000000]
class Worker[id = 40][firstName = Denis, lastName = Boolman, patronymic = Vecheslavovich, position = manager, yearOfStartWorking = 2017, salary = 5000.000000]
class Worker[id = 46][firstName = Igor, lastName = Brooks, patronymic = Vecheslavovich, position = manager, yearOfStartWorking = 2017, salary = 20000.000000]
